period_days,duration_hours,depth_ppm,planet_radius_re,snr,impact,stellar_teff_k,stellar_logg_cgs,stellar_radius_rsun,mag,fp_nt,fp_ss,fp_co,fp_ec
9.6310258,5.255,297.2,2.9,12.7,0.951,6432.0,4.207,1.345,13.306,0,0,0,0
6.814984472,3.05409,23915.0,14.18,742.2,0.793,5465.0,4.566,0.817,15.981,0,1,0,0
0.602277579,2.38,34.6,0.78,26.7,0.7502,6510.0,4.256,1.228,12.361,0,0,0,0
39.79220077,4.466,610.4,1.9,179.5,0.019,5437.0,4.571,0.781,9.705,0,0,0,0
6.99130452,2.1568,555.4,1.95,36.3,0.74,4847.0,4.606,0.761,14.94,0,0,0,0
40.7150498,8.587,563.9,2.2,56.4,0.638,5968.0,4.534,0.881,14.201,0,0,0,0
1.540392098,3.7271,1022.0,17.63,87.2,1.184,4911.0,4.564,0.724,14.449,0,1,1,1
5.56676609,1.812,173.8,1.12,12.0,0.392,5032.0,4.479,0.859,15.223,0,0,0,0
5.93720557,4.882,371.4,1.84,59.9,0.976,5857.0,4.633,0.712,13.799,0,1,1,1
10.91274065,2.1801,1387.2,2.13,57.4,0.685,3834.0,4.708,0.539,15.264,0,0,0,0
2.90512019,2.293,61.2,0.57,13.2,0.417,5374.0,4.555,0.721,13.851,0,0,0,0
12.4261809,29.09,92.2,1.88,39.0,0.98,5948.0,4.106,1.432,13.219,1,0,1,1
1.63668262,1.907,921.7,103.99,12.9,1.22,5234.0,3.436,3.739,16.494,0,0,0,0
37.86511904,2.9799,6941.7,40.36,222.3,1.28,5858.0,4.495,0.963,14.608,0,1,0,0
0.71538172,5.0,,,,,,,,14.67,1,0,0,0
1.219034103,2.4494,95697.0,40.46,319.1,0.455,5914.0,4.217,1.271,14.371,0,1,1,0
417.829033,15.05,500.8,2.19,8.9,0.279,6018.0,4.485,0.975,15.499,1,0,0,0
7.1931193,2.935,125.6,1.12,10.7,0.296,5518.0,4.4,1.008,14.834,0,0,0,0
1.736952453,2.40641,8079.2,33.46,505.6,1.276,5805.0,4.564,0.791,15.597,0,1,0,0
588.10504,15.474,326.6,1.77,11.0,0.3168,6214.0,4.457,0.965,14.514,1,0,0,0
19.94752741,1.756,861.3,2.52,16.0,0.094,5749.0,4.547,0.864,15.999,0,0,0,0
384.02570682,14.56,,,,,,,,15.206,0,0,0,0
1.332568744,3.755,24.1,0.58,29.1,0.751,6620.0,4.411,1.081,11.834,0,1,1,1
539.214259,3.464,300.6,2.04,7.8,0.001,6469.0,4.359,1.171,13.803,1,0,0,0
396.349253,2.685,413.1,2.39,5.7,0.0384,6495.0,4.379,1.168,14.795,1,0,0,0
3.539631353,1.5372,1229.7,39.34,163.5,1.091,7021.0,3.759,2.629,12.305,0,1,0,0
24.3282251,6.158,1120.6,294.02,26.4,4.426,5286.0,4.59,0.78,15.952,0,1,1,0
376.37989,13.99,1140.0,3.26,13.3,0.305,6231.0,4.488,0.955,15.632,0,0,0,0
5.910371418,3.88962,17219.0,12.62,990.3,0.065,6200.0,4.488,0.958,15.169,0,1,0,0
17.6604653,2.837,309.2,1.76,11.3,0.689,5910.0,4.505,0.94,15.768,0,0,1,0
0.98376204,10.052,55.0,12.44,25.2,1.01,6431.0,3.276,5.294,12.745,1,0,0,0
2.032319072,1.6762,315.5,1.87,24.5,0.133,6156.0,4.443,1.05,15.298,0,0,0,0
3.213668926,3.98235,727.8,4.13,346.9,0.021,5795.0,4.101,1.545,12.211,0,0,0,0
254.336707,8.585,398.4,13.97,11.3,0.728,5193.0,3.117,6.502,13.625,0,0,0,0
4.6318914,3.88,50.9,0.64,9.2,0.395,5926.0,4.532,0.887,14.272,0,0,0,0
6.2095391,2.752,47.9,30.47,8.3,0.308,3861.0,1.06,46.169,11.989,0,0,1,0
0.584310213,2.1801,809.4,23.09,91.9,1.209,5783.0,4.539,0.88,15.361,0,0,1,0
13.0607936,3.215,236.6,1.45,19.4,0.718,5830.0,4.54,0.876,14.246,0,0,0,0
1.74610057,1.299,54.2,1.24,9.2,0.032,4854.0,3.939,1.749,13.884,0,0,0,0
8.00579096,3.0549,629.7,2.36,69.2,0.092,6032.0,4.395,0.935,14.209,0,0,0,0
297.113395,4.529,275.4,5.37,10.1,0.0322,6626.0,3.676,3.206,9.666,1,0,0,0
100.8276725,8.39,1778.8,4.35,36.7,0.676,5301.0,4.391,0.977,15.28,0,0,0,0
322.544807,11.236,88.0,0.68,12.1,0.0183,5359.0,4.611,0.741,11.697,0,0,0,0
20.8392148,2.3321,177510.0,51.9,197.6,0.894,5378.0,4.488,0.812,16.583,0,1,0,0
17.067644,6.026,262.4,1.62,13.5,0.106,6347.0,4.464,0.996,15.372,0,0,0,0
326.370361,4.526,568.8,22.6,13.7,0.4924,5188.0,2.929,9.343,10.963,1,0,0,0
4.396999852,1.875,4576.8,13.57,63.3,0.987,5949.0,4.311,1.156,14.491,0,1,0,0
31.9533679,8.424,106.1,1.65,15.2,0.773,6313.0,4.228,1.467,12.742,0,0,0,0
0.856895349,1.3078,82.2,0.82,33.1,0.554,6021.0,4.537,0.873,13.098,0,0,1,0
40.715561,6.894,680.9,2.7,28.9,0.008,6297.0,4.448,1.031,15.083,0,0,0,0
0.71957289,1.79,,,,,,,,12.902,1,0,0,0
1.21374744,5.79293,185130.0,96.19,8755.2,0.831,6791.0,4.137,1.619,10.811,0,1,0,0
549.42772,6.09,719.1,2.64,12.1,0.4315,5957.0,4.498,0.971,14.654,0,0,0,0
2.064900876,6.8769,10939.0,38.19,364.0,1.253,5714.0,4.501,0.901,14.597,0,1,1,0
6.61836309,3.6813,549.1,2.98,31.5,0.043,5529.0,4.19,1.294,15.59,0,0,0,0
0.612888148,2.822,43.1,0.93,15.9,0.534,6720.0,4.276,1.368,13.725,1,0,1,0
0.445277068,3.539,186.7,35.74,28.9,1.2962,6167.0,4.444,1.064,15.343,1,0,0,1
2.685223546,4.0632,5494.6,28.98,238.7,1.28,5552.0,4.62,0.719,15.828,0,0,1,0
20.51360192,3.4769,1174.1,2.58,32.3,0.703,5310.0,4.608,0.704,15.406,0,0,0,0
1.72086129,2.0243,10184.0,13.25,1654.9,0.725,5742.0,4.297,1.215,14.309,0,1,0,0
1.077358008,3.6713,311050.0,70.64,537.4,0.619,6100.0,4.397,1.064,14.146,0,1,0,0
28.24753303,13.2,,,,,,,,15.929,0,0,0,0
5.19492747,3.167,272.9,2.03,16.5,0.093,6415.0,4.374,1.224,15.598,0,0,0,0
586.63177,7.299,199.9,1.18,8.4,0.0345,5228.0,4.471,0.854,13.416,1,0,0,0
36.12895451,2.2348,3758.6,53.72,66.3,1.474,5921.0,4.484,0.912,15.6,0,1,0,0
1.222127938,2.2613,2486.5,30.32,200.9,1.258,5157.0,4.465,0.87,14.73,0,1,1,0
0.979442525,1.0348,469.3,1.64,27.0,0.388,5532.0,4.607,0.745,15.747,0,0,1,0
372.62637,18.52,542.0,2.38,11.9,0.5353,6014.0,4.486,0.993,15.412,1,0,0,0
164.689421,1.847,521.0,2.24,4.6,0.5312,6089.0,4.495,0.95,15.377,1,0,0,0
2.189090653,5.2094,1027.1,23.25,78.3,1.238,5401.0,4.593,0.777,15.875,0,1,1,1
197.05431574,6.38,,,,,,,,12.366,0,0,0,0
0.93374699,6.168,172.1,103.98,25.5,1.167,4909.0,3.136,5.272,13.327,0,0,1,1
0.681137796,2.7287,105190.0,45.75,432.5,0.968,5872.0,4.474,0.864,12.545,0,1,0,0
